#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
0	293931.4	732.1	735.0	120.0	284.40000000000003	469.40000000000003	587.8000000000001	612.1	447.70000000000005	270.0	150.5	159.3	572.8000000000001	774.3000000000001	609.9	842.8000000000001	723.3000000000001	628.7	747.1	681.5	840.7	294050.4044	720.70001	508.600007
1	294663.5	680.7	696.0	108.7	267.90000000000003	417.6	535.4	572.0	412.8	265.6	147.20000000000002	162.20000000000002	518.5	749.5	590.3000000000001	784.1	665.7	579.8000000000001	697.6	624.5	782.4000000000001	294771.1044	678.100011	471.100007
2	295344.2	751.4000000000001	815.1	106.0	263.90000000000003	463.8	583.4	645.4000000000001	487.5	278.40000000000003	160.60000000000002	177.5	573.9	886.6	728.7	852.3000000000001	734.5	641.3000000000001	760.9000000000001	680.9000000000001	848.3000000000001	295449.2044	752.300011	535.100008
3	296095.60000000003	875.9000000000001	804.1	107.0	274.40000000000003	527.4	642.4000000000001	768.9000000000001	601.5	351.3	231.70000000000002	241.20000000000002	634.7	938.3000000000001	770.9000000000001	986.0	866.4000000000001	768.6	883.6	762.8000000000001	921.9000000000001	296201.5044	897.100013	661.50001
4	296971.5	971.3000000000001	984.6	128.1	287.2	691.3000000000001	807.1	843.2	684.1	276.7	161.70000000000002	169.4	801.9000000000001	1025.9	866.8000000000001	1078.6000000000001	963.6	860.7	976.5	937.9000000000001	1100.8	297098.6044	979.100015	732.400011
5	297942.8	1032.9	1047.0	136.0	298.90000000000003	763.8000000000001	875.5	896.9000000000001	734.0	293.3	177.5	182.70000000000002	850.2	1093.7	930.8000000000001	1143.5	1027.7	946.5	1058.2	1003.8000000000001	1153.9	298077.7044	1050.500015	810.400012
6	298975.7	999.2	992.2	153.60000000000002	303.7	711.4000000000001	827.0	845.6	695.5	283.2	171.5	196.8	802.4000000000001	1035.4	885.3000000000001	1085.6000000000001	973.9000000000001	908.2	1023.8000000000001	948.3000000000001	1099.8	299128.2045	991.600015	754.400012
7	299974.9	980.2	965.5	145.9	297.40000000000003	679.0	797.0	834.3000000000001	682.8000000000001	280.8	165.20000000000002	189.8	790.4000000000001	1009.4000000000001	857.9000000000001	1071.2	955.6	868.8000000000001	986.8000000000001	917.6	1077.9	300119.8045	961.500014	722.700011
8	300955.10000000003	900.2	884.5	127.2	287.5	610.5	729.3000000000001	773.0	612.7	286.5	168.5	175.10000000000002	725.1	932.4000000000001	772.1	1011.6	893.6	785.6	904.4000000000001	844.3000000000001	1044.9	301081.3045	892.100014	658.20001
9	301855.3	777.6	801.9000000000001	119.2	319.8	505.20000000000005	621.6	658.4000000000001	457.8	274.0	155.20000000000002	159.4	618.2	842.1	641.5	892.2	773.4000000000001	664.6	781.0	721.4000000000001	888.9000000000001	301973.4045	761.700011	545.400008
10	302632.9	701.5	695.5	103.2	270.7	408.8	523.7	598.3000000000001	430.8	296.7	180.3	183.70000000000002	517.8000000000001	776.0	608.5	814.5	698.1	592.5	707.4000000000001	615.9000000000001	780.7	302735.1045	696.30001	489.000007
11	303334.4	685.9000000000001	664.5	98.10000000000001	262.90000000000003	400.1	521.4	587.8000000000001	423.0	286.7	171.8	177.70000000000002	508.20000000000005	744.1	579.3000000000001	794.9000000000001	680.0	577.8000000000001	699.1	627.9000000000001	810.3000000000001	303431.4045	707.400011	479.700008
12	304020.3	972.8000000000001	998.5	119.7	302.1	712.4000000000001	829.9000000000001	853.1	670.7	264.40000000000003	143.1	156.3	816.5	1035.1000000000001	852.7	1080.9	959.6	868.7	986.2	958.5	1120.7	304138.8045	995.300015	749.000011
13	304993.10000000003	1058.0	1047.3	142.0	304.2	764.7	886.1	916.0	753.8000000000001	286.1	168.60000000000002	182.0	876.0	1087.3	925.1	1162.1000000000001	1044.6000000000001	946.7	1068.1000000000001	1006.3000000000001	1168.9	305134.1045	1046.200015	804.500012
14	306051.10000000003	1020.7	1035.2	130.3	292.90000000000003	736.1	858.1	890.4000000000001	727.8000000000001	282.6	161.20000000000002	171.3	849.4000000000001	1076.2	913.6	1132.0	1010.6	907.4000000000001	1029.4	988.4000000000001	1153.6000000000001	306180.3046	1029.500016	777.000012
15	307071.8	1099.8	1120.8	139.0	304.2	823.2	937.8000000000001	960.8000000000001	795.6	299.1	177.10000000000002	185.8	914.0	1167.6000000000001	1002.4000000000001	1213.1000000000001	1091.1000000000001	1009.0	1123.6000000000001	1076.6000000000001	1243.9	307209.8046	1123.300017	869.800013
16	308171.60000000003	1043.6000000000001	1013.2	162.60000000000002	329.90000000000003	723.8000000000001	847.8000000000001	881.0	713.7	297.6	183.0	206.8	836.8000000000001	1057.4	890.1	1134.4	1019.8000000000001	930.6	1054.6000000000001	968.7	1129.7	308333.1046	1013.000015	768.000011
17	309215.2	894.6	908.7	131.9	292.90000000000003	608.8000000000001	727.4000000000001	762.7	601.7	289.40000000000003	165.4	176.4	718.2	953.2	792.2	1007.6	883.6	785.2	903.8000000000001	840.7	1039.6000000000001	309346.1046	885.200013	653.200009
18	310109.8	914.1	912.0	122.5	321.40000000000003	612.9	729.2	791.6	592.7	299.90000000000003	181.3	190.5	723.6	980.0	781.1	1023.5	904.9000000000001	803.4000000000001	919.7	842.7	1021.0	310231.3046	910.600013	680.80001
19	311023.9	779.2	799.0	119.10000000000001	297.40000000000003	482.8	601.9	660.1	481.8	299.1	182.8	188.4	590.8000000000001	868.3000000000001	690.0	889.9000000000001	773.6	671.2	790.3000000000001	688.3000000000001	865.2	311141.9046	757.600012	552.000009
20	311803.10000000003	668.1	608.6	97.5	274.40000000000003	354.8	469.1	570.6	393.70000000000005	316.20000000000005	197.10000000000002	208.20000000000002	459.90000000000003	719.3000000000001	542.4	776.1	657.0	563.0	677.3000000000001	555.5	712.5	311899.5046	666.30001	465.500007
21	312471.2	735.5	809.3000000000001	95.60000000000001	252.60000000000002	479.70000000000005	597.3000000000001	639.9000000000001	482.90000000000003	253.8	139.5	148.70000000000002	586.8000000000001	862.4000000000001	705.4000000000001	840.6	726.3000000000001	628.4000000000001	746.0	705.5	891.3000000000001	312565.8047	758.500011	532.700008
22	313206.7	919.4000000000001	839.1	118.7	304.5	581.9	703.9000000000001	800.7	614.9000000000001	329.6	212.0	222.5	696.9000000000001	942.9000000000001	757.1	1026.5	908.9000000000001	804.4000000000001	926.4000000000001	819.7	996.6	313324.3047	923.500014	685.70001
23	314126.10000000003	960.3000000000001	992.4000000000001	122.80000000000001	299.7	709.8000000000001	826.9000000000001	837.5	660.6	257.2	135.20000000000002	142.20000000000002	818.1	1011.8000000000001	834.9000000000001	1075.3	953.3000000000001	852.0	969.1	951.9000000000001	1114.4	314247.8047	971.300014	729.200011
24	315086.4	940.5	910.1	133.8	296.3	651.4000000000001	769.8000000000001	806.7	644.2	282.6	165.5	174.3	766.2	950.6	788.1	1048.8	931.7	825.7	944.1	908.8000000000001	1055.3	315219.1047	949.300014	691.90001
25	316026.9	958.4000000000001	1008.7	142.6	289.1	722.9000000000001	839.0	815.8000000000001	669.3000000000001	258.7	140.3	143.9	814.5	1010.0	863.5	1073.2	954.8000000000001	866.8000000000001	982.9000000000001	965.3000000000001	1121.8	316168.4047	966.600015	724.100011
26	316985.30000000005	960.1	939.6	150.8	307.3	654.6	773.2	809.3000000000001	652.8000000000001	285.8	169.70000000000002	194.20000000000002	765.9000000000001	983.0	826.5	1051.7	935.6	848.8000000000001	967.4000000000001	895.7	1039.6000000000001	317135.0047	939.200014	698.00001
27	317945.4	964.7	957.8000000000001	129.8	273.7	681.6	799.4000000000001	834.9000000000001	691.0	285.0	166.4	173.70000000000002	791.0	1001.7	857.8000000000001	1076.0	957.4000000000001	855.3000000000001	973.1	918.9000000000001	1104.7	318074.2047	962.800014	725.30001
28	318910.10000000003	953.5	974.1	127.9	313.70000000000005	675.6	793.4000000000001	825.6	639.8000000000001	276.2	158.4	166.8	786.7	1013.0	827.2	1062.9	945.1	842.4000000000001	960.2	907.1	1061.0	319037.0048	945.900014	714.300011
29	319863.60000000003	714.6	728.9000000000001	120.4	274.3	422.5	537.5	594.2	440.3	298.5	180.70000000000002	187.4	527.2	795.9000000000001	642.0	825.7	707.9000000000001	609.9	724.9000000000001	629.1	790.2	319982.9048	696.10001	489.500007
30	320578.2	685.1	670.6	101.9	263.0	380.0	496.70000000000005	583.2	422.1	306.40000000000003	191.4	201.70000000000002	483.40000000000003	770.4000000000001	609.3000000000001	789.8000000000001	674.8000000000001	581.7	698.4000000000001	601.4	785.0	320679.0048	701.200011	479.800008
31	321263.30000000005	963.0	957.3000000000001	118.0	301.6	665.8000000000001	789.5	845.0	661.4000000000001	290.6	173.9	187.20000000000002	775.8000000000001	1026.5	842.9000000000001	1066.4	949.7	853.0	976.7	913.7	1062.9	321380.2048	982.900015	734.800011
32	322226.30000000005	1019.0	1053.2	137.9	287.1	728.2	845.9000000000001	881.1	731.9000000000001	291.5	167.8	181.5	837.5	1096.8	947.6	1129.0	1005.3000000000001	909.7	1027.4	982.6	1135.2	322363.1048	1026.300015	771.800011
33	323245.30000000005	970.9000000000001	965.0	145.1	297.7	665.3000000000001	783.8000000000001	825.8000000000001	673.2	325.0	207.3	215.70000000000002	755.2	1035.6000000000001	883.0	1080.2	962.5	881.0	999.5	924.6	1071.2	323389.4048	995.200015	735.700011
34	324216.2	1043.9	1034.9	169.4	316.0	707.9000000000001	825.5	874.5	727.9000000000001	299.7	181.20000000000002	209.8	834.1	1075.3	928.7	1133.8	1015.3000000000001	917.7	1035.3	963.8000000000001	1154.9	324384.6048	1004.100015	748.100011
35	325260.10000000003	960.9000000000001	961.0	129.70000000000002	320.8	651.6	767.1	831.2	640.1	327.0	209.4	200.8	760.1	1032.1000000000001	841.0	1087.1000000000001	969.5	852.4000000000001	967.9000000000001	888.4000000000001	1075.9	325388.7048	959.500014	722.60001
36	326221.0	853.7	794.6	128.3	315.8	540.1	659.6	725.4000000000001	537.9	309.40000000000003	193.9	200.9	652.8000000000001	867.2	679.7	962.2	846.7	741.0	860.5	761.5	943.3000000000001	326348.2049	834.100012	612.700009
37	327074.7	667.6	759.1	108.7	290.5	441.90000000000003	554.3000000000001	558.9	377.1	254.5	135.0	141.8	525.8000000000001	792.2	610.4	780.3000000000001	660.8000000000001	583.7	696.1	647.7	813.9000000000001	327182.3049	680.900011	475.000007
38	327742.30000000005	696.5	638.1	121.9	288.1	351.70000000000005	471.70000000000005	574.6	408.40000000000003	317.20000000000005	204.8	233.3	463.20000000000005	749.5	583.3000000000001	780.4000000000001	668.0	585.0	705.0	572.8000000000001	736.4000000000001	327863.2049	684.20001	462.900006
39	328438.80000000005	883.9000000000001	848.2	109.60000000000001	273.2	598.6	721.1	774.3000000000001	610.7	286.40000000000003	166.4	174.9	709.0	913.5	749.9000000000001	995.4000000000001	875.4000000000001	773.5	896.0	844.3000000000001	1003.4000000000001	328547.4049	909.600013	663.70001
40	329322.7	1020.8000000000001	1049.6000000000001	135.3	294.40000000000003	768.5	888.0	885.5	726.4000000000001	249.60000000000002	127.10000000000001	139.20000000000002	881.6	1053.5	894.4000000000001	1131.2	1008.7	907.7	1027.2	1006.7	1201.9	329457.0049	1010.500015	772.200012
41	330343.5	1000.2	1012.4000000000001	125.10000000000001	320.3	717.7	836.3000000000001	875.1	679.9000000000001	281.1	161.60000000000002	168.0	832.2	1055.3	860.1	1113.3	993.8000000000001	885.7	1004.3000000000001	968.4000000000001	1114.3	330467.5049	1011.300015	760.400012
42	331343.7	1040.9	1007.7	136.20000000000002	282.1	751.3000000000001	871.0	904.7	758.8000000000001	294.7	176.10000000000002	180.20000000000002	860.7	1051.7	905.8000000000001	1155.4	1036.8	931.5	1051.2	999.1	1155.5	331478.8049	1043.100016	795.100012
43	332384.60000000003	1054.4	1088.0	138.4	294.8	795.9000000000001	914.6	916.0	759.6	256.40000000000003	136.70000000000002	147.0	907.4000000000001	1096.6000000000001	940.2	1163.8	1044.1000000000001	942.9000000000001	1061.6000000000001	1041.0	1186.8	332521.905	1049.700016	804.400012
44	333439.0	1003.5	997.8000000000001	133.6	279.40000000000003	710.8000000000001	830.4000000000001	869.9000000000001	724.1	292.1	173.4	180.60000000000002	822.9000000000001	1044.8	899.0	1115.0	996.3000000000001	891.4000000000001	1011.0	955.1	1146.7	333571.605	1002.000015	757.600011
45	334442.5	1059.9	1047.8	132.20000000000002	323.8	771.9000000000001	891.0	927.7	736.1	287.0	167.4	174.9	885.0	1090.5	898.9000000000001	1172.0	1052.4	946.8000000000001	1065.9	1007.5	1167.7	334573.605	1050.100015	814.600012
46	335502.4	772.9000000000001	832.7	122.5	282.7	510.5	622.4000000000001	650.4000000000001	490.20000000000005	275.90000000000003	156.8	162.8	610.1	873.0	712.8000000000001	886.0	766.9000000000001	673.3000000000001	785.2	719.4000000000001	906.4000000000001	335623.705	759.700012	550.900008
47	336275.30000000005	727.5	696.1	109.30000000000001	296.3	394.3	511.3	618.2	431.20000000000005	322.20000000000005	210.3	222.60000000000002	504.90000000000003	809.4000000000001	622.4000000000001	827.1	715.2	616.9000000000001	733.9000000000001	605.7	769.3000000000001	336383.405	719.20001	507.600007
48	337002.80000000005	878.0	886.8000000000001	100.80000000000001	264.40000000000003	581.5	700.6	777.2	613.6	301.8	184.8	191.20000000000002	686.8000000000001	977.2	813.6	988.6	871.6	772.7	891.8000000000001	816.6	993.8000000000001	337102.605	907.000014	671.60001
49	337880.80000000005	934.9000000000001	891.5	129.8	307.0	621.5	741.6	805.1	627.9000000000001	305.3	186.20000000000002	200.0	734.9000000000001	961.7	784.5	1040.2	921.1	821.5	941.6	850.2	1031.3	338009.605	920.300013	691.50001
50	338815.7	890.4000000000001	985.1	115.30000000000001	296.40000000000003	644.4000000000001	760.9000000000001	775.1	594.0	270.0	149.9	156.60000000000002	733.8000000000001	1026.4	845.3000000000001	1003.8000000000001	883.7	801.0	917.5	875.6	1054.2	338929.9051	916.900014	685.600011
51	339706.10000000003	894.4000000000001	860.1	141.8	320.40000000000003	554.2	670.8000000000001	752.6	574.0	340.70000000000005	224.20000000000002	251.3	643.1	969.6	791.0	983.8000000000001	867.3000000000001	805.5	922.1	792.1	975.2	339846.8051	901.600014	663.60001
52	340600.5	1019.8000000000001	1026.1000000000001	149.0	332.1	688.4000000000001	809.0	870.8000000000001	687.7	305.90000000000003	189.3	217.0	802.8000000000001	1094.1000000000001	911.0	1108.7	992.1	905.4000000000001	1026.0	939.2	1101.1000000000001	340748.4051	1007.300015	756.300011
53	341620.30000000005	999.5	962.9000000000001	136.4	298.3	662.8000000000001	784.3000000000001	863.1	701.2	337.70000000000005	217.10000000000002	223.3	776.2	1049.8	887.9000000000001	1113.9	993.3000000000001	886.1	1007.6	917.3000000000001	1081.6000000000001	341755.7051	1004.100015	749.500011
54	342619.80000000005	999.7	1020.3000000000001	141.1	305.40000000000003	697.1	818.0	858.6	694.3000000000001	300.1	178.60000000000002	186.70000000000002	813.0	1065.9	901.6	1113.1000000000001	991.6	883.8000000000001	1004.7	944.2	1144.7	342759.8051	989.900014	742.500011
