#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
0	268.40000000000003	779.4000000000001	815.3000000000001	116.5	249.4	514.2	632.2	662.9000000000001	530.0	282.40000000000003	162.60000000000002	154.8	624.6	853.6	720.7	907.0	787.2	669.0	787.0	748.1	921.2	1170.200017	755.400012	532.700008
1	1047.8	764.3000000000001	769.3000000000001	123.5	296.6	465.40000000000003	584.9	640.8000000000001	467.70000000000005	301.1	183.10000000000002	190.70000000000002	573.6	836.5	663.4000000000001	874.7	756.7	656.1	775.6	688.1	818.5	1170.200017	755.400012	532.700008
2	1812.1000000000001	639.5	623.9000000000001	114.5	244.9	341.3	453.0	525.0	394.6	303.90000000000003	184.4	195.70000000000002	443.8	705.1	574.7	747.7	628.2	537.0	648.7	549.1	713.1	1925.600029	630.300009	422.600006
3	2451.6	697.3000000000001	699.8000000000001	105.30000000000001	269.3	405.70000000000005	527.5	592.0	428.0	282.6	170.9	180.10000000000002	517.2	774.6	610.6	799.8000000000001	688.1	585.8000000000001	707.6	633.4000000000001	771.9000000000001	2555.900038	708.100011	480.400007
4	3148.9	843.3000000000001	832.9000000000001	116.2	254.70000000000002	543.5	666.2	727.1	588.6	294.1	172.3	182.60000000000002	660.7	899.3000000000001	760.8000000000001	954.8000000000001	833.0	726.1	848.8000000000001	794.4000000000001	938.8000000000001	3264.000049	861.000012	610.000009
5	3992.2000000000003	885.4000000000001	928.1	133.70000000000002	278.1	604.3000000000001	725.2	751.7	607.3000000000001	289.40000000000003	166.70000000000002	172.20000000000002	713.2	966.6	822.2	1002.6	879.9000000000001	776.5	897.4000000000001	852.3000000000001	999.2	4125.000061	890.600014	642.80001
6	4877.6	888.2	823.8000000000001	139.1	286.0	538.5	660.7	749.1	602.2	323.8	202.9	214.9	673.3000000000001	899.6	752.7	997.1	876.2	753.4000000000001	875.6	782.4000000000001	931.7	5015.600075	858.300013	614.300009
7	5765.8	812.0	897.2	109.10000000000001	258.40000000000003	543.1	669.0	702.9000000000001	553.6	285.3	163.10000000000002	150.5	661.5	938.6	789.3000000000001	946.8000000000001	824.6	693.6	819.5	785.0	931.1	5873.900088	826.300012	584.400008
8	6577.8	972.0	915.7	123.5	269.6	602.4	722.0	848.5	702.4000000000001	354.1	228.20000000000002	235.70000000000002	736.3000000000001	1027.9	881.8000000000001	1090.4	964.5	838.1	957.7	844.0	982.2	6700.2001	956.200014	714.60001
9	7549.8	836.1	858.0	107.7	245.9	524.3000000000001	642.3000000000001	728.4000000000001	590.2	313.3	193.70000000000002	179.4	656.7	929.7	791.5	970.0	850.4000000000001	703.7	821.7	759.1	929.1	7656.400114	830.800012	595.900009
10	8385.9	706.3000000000001	695.9000000000001	102.4	272.40000000000003	408.0	521.2	603.9	433.90000000000003	333.70000000000005	215.70000000000002	201.3	505.0	794.8000000000001	624.8000000000001	838.7	720.7	609.3000000000001	722.5	614.7	789.1	8487.200126	713.700011	507.000008
11	9092.2	671.6	680.2	109.7	284.1	385.20000000000005	502.20000000000005	561.9	387.5	287.90000000000003	174.70000000000002	190.9	480.70000000000005	761.4000000000001	587.0	768.6	655.4000000000001	576.1	693.1	611.6	744.2	9200.900137	692.70001	466.500007
12	9763.800000000001	920.7	869.2	130.9	263.5	619.1	736.4000000000001	789.8000000000001	657.2	295.0	178.0	199.5	721.2	937.8000000000001	805.2	1016.2	899.2	818.6	935.9000000000001	859.9000000000001	1022.2	9893.600147	928.700014	687.800011
13	10684.5	987.3000000000001	993.2	138.70000000000002	301.0	698.7	820.2	848.6	686.3000000000001	250.10000000000002	132.8	148.0	839.3000000000001	1002.5	840.2	1089.4	972.1	846.7	968.2	946.5	1107.4	10822.30016	956.000015	707.900011
14	11671.800000000001	958.1	975.2	107.2	268.1	688.8000000000001	807.6	850.9000000000001	690.0	294.5	173.0	153.9	804.2	1021.9000000000001	861.0	1098.7	977.2	842.7	961.5	931.9000000000001	1084.3	11778.30018	978.300014	735.20001
15	12629.900000000001	880.2	876.4000000000001	127.7	280.1	591.5	713.9000000000001	752.5	600.1	286.40000000000003	167.60000000000002	171.0	709.2	919.7	767.3000000000001	995.6	876.8000000000001	762.5	884.9000000000001	836.9000000000001	986.5	12756.60019	880.100013	635.00001
16	13510.1	935.3000000000001	951.2	127.7	277.3	645.2	763.4000000000001	807.6	658.0	284.90000000000003	162.5	167.20000000000002	768.1	990.7	841.1	1053.0	930.6	812.4000000000001	930.6	883.8000000000001	1016.2	13636.7002	923.300014	684.80001
17	14445.400000000001	940.1	932.5	115.7	248.10000000000002	632.7	746.8000000000001	824.4000000000001	692.0	306.0	187.8	183.10000000000002	757.0	999.9000000000001	867.5	1063.0	944.8000000000001	815.8000000000001	929.9000000000001	849.6	1022.3000000000001	14560.00022	917.000014	700.30001
